#Key;en;fr
ShortStoreDescription;You’re a machine learning specialist who makes neural networks but your cat seems to be better at it. Now you must solve puzzles to build a cat-to-human translation system (who knows what else this cat is capable of!). Earn a fortune, buy kickass cat outfits and learn how machine learning really works!;Vous êtes un specialiste en apprentissage automatique qui fabrique des réseaux neuronaux mais votre chat semble y arriver mieux que vous. Vous devez maintenant résoudre des puzzles pour concevoir un système de traduction chat vers humain (qui sait de quoi ce chat est encore capable !). Gagnez un tas d'argent, achetez des tenues de chats et apprenez comment marche vraiment l'apprentissage automatique !
FullStoreDescription;"[b]IMPORTANT NOTE[/b] Please take a look at the Early Access section, you'll find future plans, current state description and a story behind the game.\n[h2][b]ABOUT THE GAME[/b][/h2]\n\n[b]while True: learn()[/b] is a puzzle/simulation game about even more puzzling stuff: machine learning, neural networks, big data and AI. But most importantly, it’s about understanding your cat.\n\nIn this game, you play as a coder who accidentally found out that their cat is extremely good at coding, but not as good at speaking human language. Now this coder (it’s you!) must learn all there is to know about machine learning and use visual programming to build a cat-to-human speech recognition system.\n\n[h2][b]Learn how machine learning works in real life[/b][/h2]\n[img]{STEAM_APP_IMAGE}/extras/g_learn.png[/img]\nThe game is loosely based on real-life machine learning technologies: from goofy Expert Systems to mighty Recurrent Neural Networks, capable of predicting the future. Don’t worry: it all plays out as a puzzle game. No coding experience required`\n\n[h2][b]Train yourself into a data science wizard! [/b][/h2]\n[img]{STEAM_APP_IMAGE}/extras/g_build.png[/img]\nDrag objects around your screen with a mouse! Connect them with lines (oh yeah)! Try. Fail. Optimize. Try again. Then press “Release” button and see that sweet pieces of data flow smoothly through your screen.\n[h2][b]Embrace an adventurous lifestyle of a machine learning specialist! [/b][/h2]\n\n[img]{STEAM_APP_IMAGE}/extras/g_tree.png[/img]\nDesigning a groundbreaking technology requires time, experience and money. That means you’ll have to work as a freelancer, with all the excitement that comes along with it. Receive emails! Accept contracts! Sit alone in a dark room for days without saying a single word! Socialize on forums! That’s what real data scientists do!\n\n\n[h2][b]Coding just got real![/b][/h2]\n[img]{STEAM_APP_IMAGE}/extras/g_startup.png[/img]\nOur quests are based on actual problems, solved by machine learning. This includes building a self-driving car (with your cat as a pilot). And if you really want to test your programming might, you can become a CTO of a startup: it’s your skills and your schemes against the savage laws of the market! Earn a fortune, flip off your bosses and become a tech guru… Or lose everything and crawl back to the doorstep of HR department: at least it was worth trying, right?\n\n[h2][b]Improve your gear, improve your life![/b][/h2]\n[img]{STEAM_APP_IMAGE}/extras/g_catshop.png[/img]\nOnce you ensure a stable cashflow, you’ll be able to buy yourself a bunch of fancy hardware to improve your performance. But it’s not just about the hardware! Buy yourself a new smartphone or a geeky figurine! Buy fancy outfits for your cat! Hell, you can even buy yourself an aloe!\n\n[b]Fun fact:[/b] this is what machine learning specialists actually do. Now, you can become one of them (minus the money)! while True: learn() is the best game about being a data science specialist because no one else has been weird enough to make another one!";
@cat.meow;@cat.meow;@chat.miaou
?HECKSTYLE;Hi. I am a big fan of a very famous writer. But I think his last book was auto-generated. Can you check that out?;Salut. Je suis un(e) grand(e) fan d'un célèbre écrivain. Mais je pense que son dernier livre a été auto-généré. Pourriez-vous vérifier ça ? 
?HECKSTYLET;Algorithm for checking the match of text styles;Algorithme pour verifier la correspondance des styles d'écriture
ACC.;Acc;Acc.
ACCEPT;Accept;Accepter
ACCEPT JOB;Proceed;Accepter le travail
ACCEPTDEPLOYTEXT;This action requires renting servers.\nAre you sure you're ready to launch it??;Cette action nécessite de louer des serveurs.\n Voulez-vous la lancer ?
ACCURACY;Accuracy;Précision
ALL/G DIVIDE;Good afternoon!\n\nWe've just bought a stock of trees for the Holidays. Friends say that you can calculate the peak demand period for them?\n\nPlease, help us!;Bon après-midi !\n\nNous venons juste d'acheter un stock d'arbres pour les vacances. Des amis disent que vous pourriez calculer la période de plus haute demande pour eux.\n\nS'il vous plaît, aidez-nous !
ALL/G DIVIDET;Sales prediction;Prédictions de ventes
ANTIQ;Ancient Times 1936 - 1966;Antiquité 1936 - 1980
APPSTAT;Good morning.\n\nOur scientific center needs help in the approximation of our observations.\n\nPlease extract as much information as you can.;Bonjour. \n\nNotre centre scientifique a besoin d'aide pour l'approximation de nos observations.\n\nVeuillez extraire autant d'informations que possible.
APPSTATT;Statistical sample approximation;Estimation d'échantillon statistique
